"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agere-sla.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-1.0-plus.yml", "YAML", 0, 0, 0, 27, 0, 0, 2, 29
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-1.0.yml", "YAML", 0, 0, 0, 22, 0, 0, 1, 23
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-2.0.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-3.0-bacula.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-3.0-linking-exception.yml", "YAML", 0, 0, 0, 9, 0, 0, 0, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-3.0-openssl.yml", "YAML", 0, 0, 0, 8, 0, 0, 0, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-3.0-plus.yml", "YAML", 0, 0, 0, 32, 0, 0, 1, 33
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-3.0.yml", "YAML", 0, 0, 0, 31, 0, 0, 1, 32
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\agpl-generic-additional-terms.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\air software eula.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aladdin-md5.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\alasir.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\alexisisaac-freeware.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\alfresco-exception-0.5.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\all rights served.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\allegro-4.yml", "YAML", 0, 0, 0, 13, 0, 0, 1, 14
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\altermime.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\altova-eula.yml", "YAML", 0, 0, 0, 16, 0, 0, 1, 17
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amazon web services.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
